epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,164.458,0.87008,1.60929,0.81946,1.08156,0.80083,0.7654,0.84909,0.59118,0.79944,0.76246,0.84475,0.52545,1.0053,2.1623,0.92976,1.16536,0.00157501,0.00157501,0.00157501
94,166.178,0.90645,1.58172,0.86596,1.11265,0.79728,0.80734,0.84847,0.57187,0.80303,0.80101,0.84561,0.52194,1.04201,2.13542,0.91727,1.18421,0.00156646,0.00156646,0.00156646
95,167.87,0.9068,1.64865,0.8211,1.10125,0.84553,0.75443,0.85912,0.58205,0.84805,0.74487,0.84986,0.52346,1.02139,2.14224,0.8951,1.16467,0.00155786,0.00155786,0.00155786
96,169.593,0.94171,1.77463,0.84309,1.14757,0.84891,0.74487,0.83986,0.58431,0.84017,0.739,0.82233,0.53341,1.01858,2.11973,0.92721,1.13653,0.00154919,0.00154919,0.00154919
97,171.26,0.80995,1.39183,0.78288,1.05088,0.82806,0.76833,0.83976,0.58781,0.83245,0.70968,0.78785,0.51397,1.02315,2.19489,0.93063,1.14626,0.00154047,0.00154047,0.00154047
98,173.04,0.93277,1.67784,0.84153,1.10845,0.87194,0.74487,0.83648,0.57673,0.83156,0.70941,0.78739,0.469,1.02519,2.41574,0.94738,1.16175,0.00153169,0.00153169,0.00153169
99,174.772,0.90551,1.58546,0.83147,1.08621,0.79202,0.72434,0.81353,0.53291,0.80386,0.71848,0.81091,0.46617,1.12418,2.66621,1.06229,1.23351,0.00152285,0.00152285,0.00152285
100,176.513,0.9235,1.564,0.80673,1.10137,0.77763,0.7999,0.84361,0.55904,0.77193,0.79403,0.83362,0.49512,1.08859,2.49365,0.96826,1.19666,0.00151395,0.00151395,0.00151395
101,178.244,0.92473,1.73146,0.81049,1.09975,0.88265,0.7279,0.85879,0.57245,0.86578,0.71882,0.83108,0.49823,1.10227,2.41347,0.93726,1.20267,0.001505,0.001505,0.001505
102,179.969,0.93261,1.73415,0.86953,1.13425,0.81582,0.77126,0.83917,0.57222,0.80133,0.75367,0.8175,0.50412,1.08145,2.47346,0.95964,1.1949,0.00149599,0.00149599,0.00149599
103,181.595,0.87469,1.56353,0.80084,1.10046,0.82841,0.79286,0.84035,0.56446,0.8239,0.76832,0.81408,0.51696,1.10698,2.37819,0.96256,1.20624,0.00148694,0.00148694,0.00148694
104,183.346,0.88183,1.51447,0.82902,1.06863,0.86102,0.78886,0.8632,0.5892,0.85214,0.76833,0.83219,0.5426,1.06464,2.26497,0.88113,1.1881,0.00147783,0.00147783,0.00147783
105,185.076,0.88354,1.6368,0.81344,1.0957,0.8559,0.83871,0.89817,0.61664,0.8611,0.83284,0.88397,0.5627,1.00951,2.27903,0.82655,1.15932,0.00146866,0.00146866,0.00146866
106,186.836,0.86476,1.56294,0.78139,1.08539,0.82468,0.83284,0.88104,0.59547,0.82247,0.79765,0.8571,0.54627,1.05703,2.35891,0.87661,1.18031,0.00145945,0.00145945,0.00145945
107,188.561,0.863,1.55193,0.76479,1.07007,0.86285,0.75367,0.84922,0.57728,0.84303,0.77174,0.83861,0.52504,1.05221,2.35458,0.94048,1.18163,0.00145019,0.00145019,0.00145019
108,190.318,0.84221,1.5449,0.78016,1.07347,0.84744,0.76561,0.84095,0.58583,0.83135,0.7517,0.82403,0.52021,1.0517,2.2729,0.92215,1.20388,0.00144088,0.00144088,0.00144088
109,192.016,0.82415,1.39516,0.72908,1.06064,0.83805,0.80427,0.85637,0.58582,0.83154,0.78592,0.83521,0.53571,1.0475,2.2741,0.90339,1.1931,0.00143152,0.00143152,0.00143152
110,193.67,0.79995,1.43218,0.72872,1.05775,0.87231,0.80059,0.86663,0.59923,0.86337,0.7783,0.84744,0.55675,1.02803,2.14579,0.86768,1.17386,0.00142212,0.00142212,0.00142212
